ID,Original Assumption,Assumption,Proposition,is phrase B contain any Contrary to phrase A? by maya,is phrase B contain any Contrary to phrase A? by Watanee,is phrase B contain any Contrary to phrase A? by YY,is phrase B contain any Contrary to phrase A? by Nonraphan,is phrase B contain any Contrary to phrase A? by Phanphum,is phrase B contain any Contrary to phrase A? by Nimmida,Vote
3653,no_evident_not_staff_work_hard_to_keep_hotel_in_good_condition,staff_work_hard_to_keep_hotel_in_good_condition,staff_not_speak_Cypriot_language,,,,No,No,,No
3654,no_evident_not_staff_work_hard_to_keep_hotel_in_good_condition,staff_work_hard_to_keep_hotel_in_good_condition,no_staff_at_night,,,,No,Yes,Yes,Yes
3655,no_evident_not_staff_work_hard_to_keep_hotel_in_good_condition,staff_work_hard_to_keep_hotel_in_good_condition,staff_not_understand_English_well,,,,No,No,,No
3656,no_evident_not_staff_work_hard_to_keep_hotel_in_good_condition,staff_work_hard_to_keep_hotel_in_good_condition,staff_cannot_give_bus_to_airport_information,,,,No,No,,No
3657,no_evident_not_staff_work_hard_to_keep_hotel_in_good_condition,staff_work_hard_to_keep_hotel_in_good_condition,only_one_staff_wear_mask,,,,No,No,,No
3658,no_evident_not_happy_staff,happy_staff,staff_not_speak_English_properly,,,,No,No,,No
3659,no_evident_not_happy_staff,happy_staff,staff_clean_after_complaint,,,,No,No,,No
3660,no_evident_not_happy_staff,happy_staff,staff_should_learn_better_English,,,,No,No,,No
3661,no_evident_not_happy_staff,happy_staff,staff_need_improve_organization,,,,No,No,,No
3662,no_evident_not_happy_staff,happy_staff,staff_need_improve_collaboration,,,,No,No,,No
3663,no_evident_not_happy_staff,happy_staff,staff_need_keep_update,,,,No,No,,No
3664,no_evident_not_happy_staff,happy_staff,not_kind_staff,,,,No,Yes,Yes,Yes
3665,no_evident_not_happy_staff,happy_staff,no_empathy_staff,,,,No,Yes,Yes,Yes
3666,no_evident_not_happy_staff,happy_staff,staff_fail_to_communicate_with_taxi,,,,No,No,,No
3667,no_evident_not_happy_staff,happy_staff,staff_fail_to_guest_request,,,,No,No,,No
3668,no_evident_not_happy_staff,happy_staff,staff_cannot_provide_double_bed,,,,No,No,,No
3669,no_evident_not_happy_staff,happy_staff,offended_staff,,,,Yes,Yes,,Yes
3670,no_evident_not_happy_staff,happy_staff,staff_not_justify_booking_issue,,,,No,No,,No
3671,no_evident_not_happy_staff,happy_staff,staff_charge_for_cancellation_while_no_cancellation_charge_in_Booking.com,,,,No,No,,No
3672,no_evident_not_happy_staff,happy_staff,staff_enforce_cancellation_charge,,,,No,No,,No
3673,no_evident_not_happy_staff,happy_staff,staff_mistakenly_throw_valuable_item_during_cleaning_service,,,,No,No,,No
3674,no_evident_not_happy_staff,happy_staff,staff_not_provide_good_solution,,,,No,No,,No
3675,no_evident_not_happy_staff,happy_staff,staff_has_unaceptable_manner,,,,No,Yes,Yes,Yes
3676,no_evident_not_happy_staff,happy_staff,staff_not_speak_Cypriot_language,,,,No,No,,No
3677,no_evident_not_happy_staff,happy_staff,no_staff_at_night,,,,No,No,,No
3678,no_evident_not_happy_staff,happy_staff,staff_not_understand_English_well,,,,No,No,,No
3679,no_evident_not_happy_staff,happy_staff,staff_cannot_give_bus_to_airport_information,,,,No,No,,No
3680,no_evident_not_happy_staff,happy_staff,only_one_staff_wear_mask,,,,No,No,,No
3681,no_evident_not_greet_staff,greet_staff,staff_not_speak_English_properly,,,,No,No,,No
3682,no_evident_not_greet_staff,greet_staff,staff_clean_after_complaint,,,,No,No,,No
3683,no_evident_not_greet_staff,greet_staff,staff_should_learn_better_English,,,,No,No,,No
3684,no_evident_not_greet_staff,greet_staff,staff_need_improve_organization,,,,No,No,,No
3685,no_evident_not_greet_staff,greet_staff,staff_need_improve_collaboration,,,,No,No,,No
3686,no_evident_not_greet_staff,greet_staff,staff_need_keep_update,,,,No,No,,No
3687,no_evident_not_greet_staff,greet_staff,not_kind_staff,,,,Yes,No,Yes,Yes
3688,no_evident_not_greet_staff,greet_staff,no_empathy_staff,,,,Yes,No,Yes,Yes
3689,no_evident_not_greet_staff,greet_staff,staff_fail_to_communicate_with_taxi,,,,No,No,,No
3690,no_evident_not_greet_staff,greet_staff,staff_fail_to_guest_request,,,,No,No,,No
3691,no_evident_not_greet_staff,greet_staff,staff_cannot_provide_double_bed,,,,No,No,,No
3692,no_evident_not_greet_staff,greet_staff,offended_staff,,,,Yes,No,Yes,Yes
3693,no_evident_not_greet_staff,greet_staff,staff_not_justify_booking_issue,,,,No,No,,No
3694,no_evident_not_greet_staff,greet_staff,staff_charge_for_cancellation_while_no_cancellation_charge_in_Booking.com,,,,No,No,,No
3695,no_evident_not_greet_staff,greet_staff,staff_enforce_cancellation_charge,,,,No,No,,No
3696,no_evident_not_greet_staff,greet_staff,staff_mistakenly_throw_valuable_item_during_cleaning_service,,,,No,No,,No
3697,no_evident_not_greet_staff,greet_staff,staff_not_provide_good_solution,,,,No,No,,No
3698,no_evident_not_greet_staff,greet_staff,staff_has_unaceptable_manner,,,,Yes,No,Yes,Yes
3699,no_evident_not_greet_staff,greet_staff,staff_not_speak_Cypriot_language,,,,No,No,,No
3700,no_evident_not_greet_staff,greet_staff,no_staff_at_night,,,,Yes,No,No,No
3701,no_evident_not_greet_staff,greet_staff,staff_not_understand_English_well,,,,No,No,,No
3702,no_evident_not_greet_staff,greet_staff,staff_cannot_give_bus_to_airport_information,,,,No,No,,No
3703,no_evident_not_greet_staff,greet_staff,only_one_staff_wear_mask,,,,No,No,,No
3704,no_evident_not_knowledgeable_staff,knowledgeable_staff,staff_not_speak_English_properly,,,,No,Yes,Yes,Yes
3705,no_evident_not_knowledgeable_staff,knowledgeable_staff,staff_clean_after_complaint,,,,No,No,,No
3706,no_evident_not_knowledgeable_staff,knowledgeable_staff,staff_should_learn_better_English,,,,Yes,Yes,,Yes
3707,no_evident_not_knowledgeable_staff,knowledgeable_staff,staff_need_improve_organization,,,,No,Yes,Yes,Yes
3708,no_evident_not_knowledgeable_staff,knowledgeable_staff,staff_need_improve_collaboration,,,,No,Yes,Yes,Yes
3709,no_evident_not_knowledgeable_staff,knowledgeable_staff,staff_need_keep_update,,,,No,Yes,Yes,Yes
3710,no_evident_not_knowledgeable_staff,knowledgeable_staff,not_kind_staff,,,,No,No,,No
3711,no_evident_not_knowledgeable_staff,knowledgeable_staff,no_empathy_staff,,,,No,No,,No
3712,no_evident_not_knowledgeable_staff,knowledgeable_staff,staff_fail_to_communicate_with_taxi,,,,Yes,Yes,,Yes
3713,no_evident_not_knowledgeable_staff,knowledgeable_staff,staff_fail_to_guest_request,,,,Yes,Yes,,Yes
3714,no_evident_not_knowledgeable_staff,knowledgeable_staff,staff_cannot_provide_double_bed,,,,No,No,,No
3715,no_evident_not_knowledgeable_staff,knowledgeable_staff,offended_staff,,,,No,No,,No
3716,no_evident_not_knowledgeable_staff,knowledgeable_staff,staff_not_justify_booking_issue,,,,No,Yes,Yes,Yes
3717,no_evident_not_knowledgeable_staff,knowledgeable_staff,staff_charge_for_cancellation_while_no_cancellation_charge_in_Booking.com,,,,No,No,,No
3718,no_evident_not_knowledgeable_staff,knowledgeable_staff,staff_enforce_cancellation_charge,,,,No,No,,No
3719,no_evident_not_knowledgeable_staff,knowledgeable_staff,staff_mistakenly_throw_valuable_item_during_cleaning_service,,,,No,No,,No
3720,no_evident_not_knowledgeable_staff,knowledgeable_staff,staff_not_provide_good_solution,,,,No,Yes,Yes,Yes
3721,no_evident_not_knowledgeable_staff,knowledgeable_staff,staff_has_unaceptable_manner,,,,No,No,,No
3722,no_evident_not_knowledgeable_staff,knowledgeable_staff,staff_not_speak_Cypriot_language,,,,Yes,Yes,,Yes
3723,no_evident_not_knowledgeable_staff,knowledgeable_staff,no_staff_at_night,,,,No,No,,No
3724,no_evident_not_knowledgeable_staff,knowledgeable_staff,staff_not_understand_English_well,,,,Yes,Yes,,Yes
3725,no_evident_not_knowledgeable_staff,knowledgeable_staff,staff_cannot_give_bus_to_airport_information,,,,No,Yes,Yes,Yes
3726,no_evident_not_knowledgeable_staff,knowledgeable_staff,only_one_staff_wear_mask,,,,No,No,,No
3727,no_evident_not_can_speak_French,can_speak_French,staff_not_speak_English_properly,,,,No,No,,No
3728,no_evident_not_can_speak_French,can_speak_French,staff_clean_after_complaint,,,,No,No,,No
3729,no_evident_not_can_speak_French,can_speak_French,staff_should_learn_better_English,,,,No,No,,No
3730,no_evident_not_can_speak_French,can_speak_French,staff_need_improve_organization,,,,No,No,,No
3731,no_evident_not_can_speak_French,can_speak_French,staff_need_improve_collaboration,,,,No,No,,No
3732,no_evident_not_can_speak_French,can_speak_French,staff_need_keep_update,,,,No,No,,No
3733,no_evident_not_can_speak_French,can_speak_French,not_kind_staff,,,,No,No,,No
3734,no_evident_not_can_speak_French,can_speak_French,no_empathy_staff,,,,No,No,,No
3735,no_evident_not_can_speak_French,can_speak_French,staff_fail_to_communicate_with_taxi,,,,No,No,,No
3736,no_evident_not_can_speak_French,can_speak_French,staff_fail_to_guest_request,,,,Yes,No,No,No
3737,no_evident_not_can_speak_French,can_speak_French,staff_cannot_provide_double_bed,,,,No,No,,No
3738,no_evident_not_can_speak_French,can_speak_French,offended_staff,,,,No,No,,No
3739,no_evident_not_can_speak_French,can_speak_French,staff_not_justify_booking_issue,,,,No,No,,No
3740,no_evident_not_can_speak_French,can_speak_French,staff_charge_for_cancellation_while_no_cancellation_charge_in_Booking.com,,,,No,No,,No
3741,no_evident_not_can_speak_French,can_speak_French,staff_enforce_cancellation_charge,,,,No,No,,No
3742,no_evident_not_can_speak_French,can_speak_French,staff_mistakenly_throw_valuable_item_during_cleaning_service,,,,No,No,,No
3743,no_evident_not_can_speak_French,can_speak_French,staff_not_provide_good_solution,,,,No,No,,No
3744,no_evident_not_can_speak_French,can_speak_French,staff_has_unaceptable_manner,,,,No,No,,No
3745,no_evident_not_can_speak_French,can_speak_French,staff_not_speak_Cypriot_language,,,,No,No,,No
3746,no_evident_not_can_speak_French,can_speak_French,no_staff_at_night,,,,No,No,,No
3747,no_evident_not_can_speak_French,can_speak_French,staff_not_understand_English_well,,,,No,No,,No
3748,no_evident_not_can_speak_French,can_speak_French,staff_cannot_give_bus_to_airport_information,,,,No,No,,No
3749,no_evident_not_can_speak_French,can_speak_French,only_one_staff_wear_mask,,,,No,No,,No
3750,no_evident_not_competent_staff,competent_staff,staff_not_speak_English_properly,,,,Yes,Yes,,Yes
3751,no_evident_not_competent_staff,competent_staff,staff_clean_after_complaint,,,,No,No,,No
3752,no_evident_not_competent_staff,competent_staff,staff_should_learn_better_English,,,,Yes,Yes,,Yes
3753,no_evident_not_competent_staff,competent_staff,staff_need_improve_organization,,,,Yes,Yes,,Yes
3754,no_evident_not_competent_staff,competent_staff,staff_need_improve_collaboration,,,,Yes,Yes,,Yes
3755,no_evident_not_competent_staff,competent_staff,staff_need_keep_update,,,,Yes,Yes,,Yes
3756,no_evident_not_competent_staff,competent_staff,not_kind_staff,,,,No,No,,No
3757,no_evident_not_competent_staff,competent_staff,no_empathy_staff,,,,No,No,,No
3758,no_evident_not_competent_staff,competent_staff,staff_fail_to_communicate_with_taxi,,,,Yes,Yes,,Yes
3759,no_evident_not_competent_staff,competent_staff,staff_fail_to_guest_request,,,,Yes,Yes,,Yes
3760,no_evident_not_competent_staff,competent_staff,staff_cannot_provide_double_bed,,,,No,No,,No
3761,no_evident_not_competent_staff,competent_staff,offended_staff,,,,No,No,,No
3762,no_evident_not_competent_staff,competent_staff,staff_not_justify_booking_issue,,,,No,Yes,Yes,Yes
3763,no_evident_not_competent_staff,competent_staff,staff_charge_for_cancellation_while_no_cancellation_charge_in_Booking.com,,,,Yes,No,Yes,Yes
3764,no_evident_not_competent_staff,competent_staff,staff_enforce_cancellation_charge,,,,No,No,,No
3765,no_evident_not_competent_staff,competent_staff,staff_mistakenly_throw_valuable_item_during_cleaning_service,,,,Yes,No,Yes,Yes
3766,no_evident_not_competent_staff,competent_staff,staff_not_provide_good_solution,,,,Yes,Yes,,Yes
3767,no_evident_not_competent_staff,competent_staff,staff_has_unaceptable_manner,,,,Yes,No,Yes,Yes
3768,no_evident_not_competent_staff,competent_staff,staff_not_speak_Cypriot_language,,,,No,Yes,Yes,Yes
3769,no_evident_not_competent_staff,competent_staff,no_staff_at_night,,,,No,No,,No
3770,no_evident_not_competent_staff,competent_staff,staff_not_understand_English_well,,,,No,Yes,Yes,Yes
3771,no_evident_not_competent_staff,competent_staff,staff_cannot_give_bus_to_airport_information,,,,Yes,Yes,,Yes
3772,no_evident_not_competent_staff,competent_staff,only_one_staff_wear_mask,,,,No,No,,No
3773,no_evident_not_happy_to_help,happy_to_help,staff_not_speak_English_properly,,,,No,No,,No
3774,no_evident_not_happy_to_help,happy_to_help,staff_clean_after_complaint,,,,No,No,,No
3775,no_evident_not_happy_to_help,happy_to_help,staff_should_learn_better_English,,,,No,No,,No
3776,no_evident_not_happy_to_help,happy_to_help,staff_need_improve_organization,,,,No,No,,No
3777,no_evident_not_happy_to_help,happy_to_help,staff_need_improve_collaboration,,,,No,No,,No
3778,no_evident_not_happy_to_help,happy_to_help,staff_need_keep_update,,,,No,No,,No
3779,no_evident_not_happy_to_help,happy_to_help,not_kind_staff,,,,Yes,Yes,,Yes
3780,no_evident_not_happy_to_help,happy_to_help,no_empathy_staff,,,,Yes,Yes,,Yes
3781,no_evident_not_happy_to_help,happy_to_help,staff_fail_to_communicate_with_taxi,,,,No,No,,No
3782,no_evident_not_happy_to_help,happy_to_help,staff_fail_to_guest_request,,,,No,No,,No
3783,no_evident_not_happy_to_help,happy_to_help,staff_cannot_provide_double_bed,,,,No,No,,No
3784,no_evident_not_happy_to_help,happy_to_help,offended_staff,,,,No,Yes,Yes,Yes
3785,no_evident_not_happy_to_help,happy_to_help,staff_not_justify_booking_issue,,,,Yes,No,Yes,Yes
3786,no_evident_not_happy_to_help,happy_to_help,staff_charge_for_cancellation_while_no_cancellation_charge_in_Booking.com,,,,No,No,,No
3787,no_evident_not_happy_to_help,happy_to_help,staff_enforce_cancellation_charge,,,,No,No,,No
3788,no_evident_not_happy_to_help,happy_to_help,staff_mistakenly_throw_valuable_item_during_cleaning_service,,,,No,No,,No
3789,no_evident_not_happy_to_help,happy_to_help,staff_not_provide_good_solution,,,,Yes,No,Yes,Yes
3790,no_evident_not_happy_to_help,happy_to_help,staff_has_unaceptable_manner,,,,Yes,Yes,,Yes
3791,no_evident_not_happy_to_help,happy_to_help,staff_not_speak_Cypriot_language,,,,No,No,,No
3792,no_evident_not_happy_to_help,happy_to_help,no_staff_at_night,,,,No,No,,No
3793,no_evident_not_happy_to_help,happy_to_help,staff_not_understand_English_well,,,,No,No,,No
3794,no_evident_not_happy_to_help,happy_to_help,staff_cannot_give_bus_to_airport_information,,,,No,No,,No
3795,no_evident_not_happy_to_help,happy_to_help,only_one_staff_wear_mask,,,,No,No,,No
3796,no_evident_not_staff_ready_to_answer_question,staff_ready_to_answer_question,staff_not_speak_English_properly,,,,No,No,,No
3797,no_evident_not_staff_ready_to_answer_question,staff_ready_to_answer_question,staff_clean_after_complaint,,,,No,No,,No
3798,no_evident_not_staff_ready_to_answer_question,staff_ready_to_answer_question,staff_should_learn_better_English,,,,No,No,,No
3799,no_evident_not_staff_ready_to_answer_question,staff_ready_to_answer_question,staff_need_improve_organization,,,,No,No,,No
3800,no_evident_not_staff_ready_to_answer_question,staff_ready_to_answer_question,staff_need_improve_collaboration,,,,No,No,,No
3801,no_evident_not_staff_ready_to_answer_question,staff_ready_to_answer_question,staff_need_keep_update,,,,No,No,,No
3802,no_evident_not_staff_ready_to_answer_question,staff_ready_to_answer_question,not_kind_staff,,,,No,No,,No
3803,no_evident_not_staff_ready_to_answer_question,staff_ready_to_answer_question,no_empathy_staff,,,,Yes,No,No,No
3804,no_evident_not_staff_ready_to_answer_question,staff_ready_to_answer_question,staff_fail_to_communicate_with_taxi,,,,No,No,,No
3805,no_evident_not_staff_ready_to_answer_question,staff_ready_to_answer_question,staff_fail_to_guest_request,,,,No,No,,No
3806,no_evident_not_staff_ready_to_answer_question,staff_ready_to_answer_question,staff_cannot_provide_double_bed,,,,No,No,,No
3807,no_evident_not_staff_ready_to_answer_question,staff_ready_to_answer_question,offended_staff,,,,No,No,,No
3808,no_evident_not_staff_ready_to_answer_question,staff_ready_to_answer_question,staff_not_justify_booking_issue,,,,No,No,,No
3809,no_evident_not_staff_ready_to_answer_question,staff_ready_to_answer_question,staff_charge_for_cancellation_while_no_cancellation_charge_in_Booking.com,,,,No,No,,No
3810,no_evident_not_staff_ready_to_answer_question,staff_ready_to_answer_question,staff_enforce_cancellation_charge,,,,No,No,,No
3811,no_evident_not_staff_ready_to_answer_question,staff_ready_to_answer_question,staff_mistakenly_throw_valuable_item_during_cleaning_service,,,,No,No,,No
3812,no_evident_not_staff_ready_to_answer_question,staff_ready_to_answer_question,staff_not_provide_good_solution,,,,No,No,,No
3813,no_evident_not_staff_ready_to_answer_question,staff_ready_to_answer_question,staff_has_unaceptable_manner,,,,Yes,Yes,,Yes
3814,no_evident_not_staff_ready_to_answer_question,staff_ready_to_answer_question,staff_not_speak_Cypriot_language,,,,No,No,,No
3815,no_evident_not_staff_ready_to_answer_question,staff_ready_to_answer_question,no_staff_at_night,,,,No,Yes,Yes,Yes
3816,no_evident_not_staff_ready_to_answer_question,staff_ready_to_answer_question,staff_not_understand_English_well,,,,No,No,,No
3817,no_evident_not_staff_ready_to_answer_question,staff_ready_to_answer_question,staff_cannot_give_bus_to_airport_information,,,,No,No,,No
3818,no_evident_not_staff_ready_to_answer_question,staff_ready_to_answer_question,only_one_staff_wear_mask,,,,No,No,,No
3819,no_evident_not_staff_give_good_advice,staff_give_good_advice,staff_not_speak_English_properly,,,,Yes,No,No,No
3820,no_evident_not_staff_give_good_advice,staff_give_good_advice,staff_clean_after_complaint,,,,No,No,,No
3821,no_evident_not_staff_give_good_advice,staff_give_good_advice,staff_should_learn_better_English,,,,No,No,,No
3822,no_evident_not_staff_give_good_advice,staff_give_good_advice,staff_need_improve_organization,,,,No,No,,No
3823,no_evident_not_staff_give_good_advice,staff_give_good_advice,staff_need_improve_collaboration,,,,No,No,,No
3824,no_evident_not_staff_give_good_advice,staff_give_good_advice,staff_need_keep_update,,,,No,No,,No
3825,no_evident_not_staff_give_good_advice,staff_give_good_advice,not_kind_staff,,,,No,No,,No
3826,no_evident_not_staff_give_good_advice,staff_give_good_advice,no_empathy_staff,,,,No,No,,No
3827,no_evident_not_staff_give_good_advice,staff_give_good_advice,staff_fail_to_communicate_with_taxi,,,,No,No,,No
3828,no_evident_not_staff_give_good_advice,staff_give_good_advice,staff_fail_to_guest_request,,,,No,No,,No
3829,no_evident_not_staff_give_good_advice,staff_give_good_advice,staff_cannot_provide_double_bed,,,,No,No,,No
3830,no_evident_not_staff_give_good_advice,staff_give_good_advice,offended_staff,,,,No,No,,No
3831,no_evident_not_staff_give_good_advice,staff_give_good_advice,staff_not_justify_booking_issue,,,,Yes,No,Yes,Yes
3832,no_evident_not_staff_give_good_advice,staff_give_good_advice,staff_charge_for_cancellation_while_no_cancellation_charge_in_Booking.com,,,,No,No,,No
3833,no_evident_not_staff_give_good_advice,staff_give_good_advice,staff_enforce_cancellation_charge,,,,No,No,,No
3834,no_evident_not_staff_give_good_advice,staff_give_good_advice,staff_mistakenly_throw_valuable_item_during_cleaning_service,,,,No,No,,No
3835,no_evident_not_staff_give_good_advice,staff_give_good_advice,staff_not_provide_good_solution,,,,Yes,Yes,,Yes
3836,no_evident_not_staff_give_good_advice,staff_give_good_advice,staff_has_unaceptable_manner,,,,No,No,,No
3837,no_evident_not_staff_give_good_advice,staff_give_good_advice,staff_not_speak_Cypriot_language,,,,No,No,,No
3838,no_evident_not_staff_give_good_advice,staff_give_good_advice,no_staff_at_night,,,,No,Yes,No,No
3839,no_evident_not_staff_give_good_advice,staff_give_good_advice,staff_not_understand_English_well,,,,No,No,,No
3840,no_evident_not_staff_give_good_advice,staff_give_good_advice,staff_cannot_give_bus_to_airport_information,,,,No,No,,No
3841,no_evident_not_staff_give_good_advice,staff_give_good_advice,only_one_staff_wear_mask,,,,No,No,,No
3842,no_evident_not_listening_staff,listening_staff,staff_not_speak_English_properly,,,,No,No,,No
3843,no_evident_not_listening_staff,listening_staff,staff_clean_after_complaint,,,,No,No,,No
3844,no_evident_not_listening_staff,listening_staff,staff_should_learn_better_English,,,,No,No,,No
3845,no_evident_not_listening_staff,listening_staff,staff_need_improve_organization,,,,No,No,,No
3846,no_evident_not_listening_staff,listening_staff,staff_need_improve_collaboration,,,,No,No,,No
3847,no_evident_not_listening_staff,listening_staff,staff_need_keep_update,,,,No,No,,No
3848,no_evident_not_listening_staff,listening_staff,not_kind_staff,,,,Yes,No,Yes,Yes
3849,no_evident_not_listening_staff,listening_staff,no_empathy_staff,,,,Yes,No,Yes,Yes
3850,no_evident_not_listening_staff,listening_staff,staff_fail_to_communicate_with_taxi,,,,Yes,No,No,No
3851,no_evident_not_listening_staff,listening_staff,staff_fail_to_guest_request,,,,Yes,No,Yes,Yes
3852,no_evident_not_listening_staff,listening_staff,staff_cannot_provide_double_bed,,,,No,No,,No
3853,no_evident_not_listening_staff,listening_staff,offended_staff,,,,Yes,No,Yes,Yes
3854,no_evident_not_listening_staff,listening_staff,staff_not_justify_booking_issue,,,,Yes,No,Yes,Yes
3855,no_evident_not_listening_staff,listening_staff,staff_charge_for_cancellation_while_no_cancellation_charge_in_Booking.com,,,,No,No,,No
3856,no_evident_not_listening_staff,listening_staff,staff_enforce_cancellation_charge,,,,No,No,,No
3857,no_evident_not_listening_staff,listening_staff,staff_mistakenly_throw_valuable_item_during_cleaning_service,,,,No,No,,No
3858,no_evident_not_listening_staff,listening_staff,staff_not_provide_good_solution,,,,No,No,,No
3859,no_evident_not_listening_staff,listening_staff,staff_has_unaceptable_manner,,,,Yes,Yes,,Yes
3860,no_evident_not_listening_staff,listening_staff,staff_not_speak_Cypriot_language,,,,No,No,,No
3861,no_evident_not_listening_staff,listening_staff,no_staff_at_night,,,,No,No,,No
3862,no_evident_not_listening_staff,listening_staff,staff_not_understand_English_well,,,,No,No,,No
3863,no_evident_not_listening_staff,listening_staff,staff_cannot_give_bus_to_airport_information,,,,No,No,,No
3864,no_evident_not_listening_staff,listening_staff,only_one_staff_wear_mask,,,,No,No,,No
3865,no_evident_not_sweet_staff,sweet_staff,staff_not_speak_English_properly,,,,No,No,,No
3866,no_evident_not_sweet_staff,sweet_staff,staff_clean_after_complaint,,,,No,No,,No
3867,no_evident_not_sweet_staff,sweet_staff,staff_should_learn_better_English,,,,No,No,,No
3868,no_evident_not_sweet_staff,sweet_staff,staff_need_improve_organization,,,,No,No,,No
3869,no_evident_not_sweet_staff,sweet_staff,staff_need_improve_collaboration,,,,No,No,,No
3870,no_evident_not_sweet_staff,sweet_staff,staff_need_keep_update,,,,No,No,,No
3871,no_evident_not_sweet_staff,sweet_staff,not_kind_staff,,,,Yes,Yes,,Yes
3872,no_evident_not_sweet_staff,sweet_staff,no_empathy_staff,,,,Yes,Yes,,Yes
3873,no_evident_not_sweet_staff,sweet_staff,staff_fail_to_communicate_with_taxi,,,,No,No,,No
3874,no_evident_not_sweet_staff,sweet_staff,staff_fail_to_guest_request,,,,No,No,,No
3875,no_evident_not_sweet_staff,sweet_staff,staff_cannot_provide_double_bed,,,,No,No,,No
3876,no_evident_not_sweet_staff,sweet_staff,offended_staff,,,,Yes,Yes,,Yes
3877,no_evident_not_sweet_staff,sweet_staff,staff_not_justify_booking_issue,,,,No,Yes,Yes,Yes
3878,no_evident_not_sweet_staff,sweet_staff,staff_charge_for_cancellation_while_no_cancellation_charge_in_Booking.com,,,,No,Yes,Yes,Yes
3879,no_evident_not_sweet_staff,sweet_staff,staff_enforce_cancellation_charge,,,,No,No,,No
3880,no_evident_not_sweet_staff,sweet_staff,staff_mistakenly_throw_valuable_item_during_cleaning_service,,,,No,No,,No
3881,no_evident_not_sweet_staff,sweet_staff,staff_not_provide_good_solution,,,,No,No,,No
3882,no_evident_not_sweet_staff,sweet_staff,staff_has_unaceptable_manner,,,,Yes,Yes,,Yes
3883,no_evident_not_sweet_staff,sweet_staff,staff_not_speak_Cypriot_language,,,,No,No,,No
3884,no_evident_not_sweet_staff,sweet_staff,no_staff_at_night,,,,No,No,,No
3885,no_evident_not_sweet_staff,sweet_staff,staff_not_understand_English_well,,,,No,No,,No
3886,no_evident_not_sweet_staff,sweet_staff,staff_cannot_give_bus_to_airport_information,,,,No,No,,No
3887,no_evident_not_sweet_staff,sweet_staff,only_one_staff_wear_mask,,,,No,No,,No
3888,no_evident_not_pleasant_contact_staff,pleasant_contact_staff,staff_not_speak_English_properly,,,,No,No,,No
3889,no_evident_not_pleasant_contact_staff,pleasant_contact_staff,staff_clean_after_complaint,,,,No,No,,No
3890,no_evident_not_pleasant_contact_staff,pleasant_contact_staff,staff_should_learn_better_English,,,,No,No,,No
3891,no_evident_not_pleasant_contact_staff,pleasant_contact_staff,staff_need_improve_organization,,,,No,No,,No
3892,no_evident_not_pleasant_contact_staff,pleasant_contact_staff,staff_need_improve_collaboration,,,,No,No,,No
3893,no_evident_not_pleasant_contact_staff,pleasant_contact_staff,staff_need_keep_update,,,,No,No,,No
3894,no_evident_not_pleasant_contact_staff,pleasant_contact_staff,not_kind_staff,,,,No,Yes,Yes,Yes
3895,no_evident_not_pleasant_contact_staff,pleasant_contact_staff,no_empathy_staff,,,,No,Yes,Yes,Yes
3896,no_evident_not_pleasant_contact_staff,pleasant_contact_staff,staff_fail_to_communicate_with_taxi,,,,No,No,,No
3897,no_evident_not_pleasant_contact_staff,pleasant_contact_staff,staff_fail_to_guest_request,,,,No,No,,No
3898,no_evident_not_pleasant_contact_staff,pleasant_contact_staff,staff_cannot_provide_double_bed,,,,No,No,,No
3899,no_evident_not_pleasant_contact_staff,pleasant_contact_staff,offended_staff,,,,No,Yes,Yes,Yes
3900,no_evident_not_pleasant_contact_staff,pleasant_contact_staff,staff_not_justify_booking_issue,,,,Yes,Yes,,Yes
3901,no_evident_not_pleasant_contact_staff,pleasant_contact_staff,staff_charge_for_cancellation_while_no_cancellation_charge_in_Booking.com,,,,No,Yes,Yes,Yes
3902,no_evident_not_pleasant_contact_staff,pleasant_contact_staff,staff_enforce_cancellation_charge,,,,No,No,,No
3903,no_evident_not_pleasant_contact_staff,pleasant_contact_staff,staff_mistakenly_throw_valuable_item_during_cleaning_service,,,,No,No,,No
3904,no_evident_not_pleasant_contact_staff,pleasant_contact_staff,staff_not_provide_good_solution,,,,Yes,No,Yes,Yes
3905,no_evident_not_pleasant_contact_staff,pleasant_contact_staff,staff_has_unaceptable_manner,,,,Yes,Yes,,Yes
3906,no_evident_not_pleasant_contact_staff,pleasant_contact_staff,staff_not_speak_Cypriot_language,,,,No,No,,No
3907,no_evident_not_pleasant_contact_staff,pleasant_contact_staff,no_staff_at_night,,,,No,No,,No
3908,no_evident_not_pleasant_contact_staff,pleasant_contact_staff,staff_not_understand_English_well,,,,No,No,,No
3909,no_evident_not_pleasant_contact_staff,pleasant_contact_staff,staff_cannot_give_bus_to_airport_information,,,,No,No,,No
3910,no_evident_not_pleasant_contact_staff,pleasant_contact_staff,only_one_staff_wear_mask,,,,No,No,,No
3911,no_evident_not_staff_arrange_ride_to_airport,staff_arrange_ride_to_airport,staff_not_speak_English_properly,,,,No,No,,No
3912,no_evident_not_staff_arrange_ride_to_airport,staff_arrange_ride_to_airport,staff_clean_after_complaint,,,,No,No,,No
3913,no_evident_not_staff_arrange_ride_to_airport,staff_arrange_ride_to_airport,staff_should_learn_better_English,,,,No,No,,No
3914,no_evident_not_staff_arrange_ride_to_airport,staff_arrange_ride_to_airport,staff_need_improve_organization,,,,No,No,,No
